Prefecture,median_price_per_m2,n_municipios,n_transacciones,rank_accesibilidad,rank_liquidez,score
Niigata Prefecture,19444.861215303827,18,485,4.0,11.0,7.5
Yamaguchi Prefecture,20952.380952380954,11,408,7.0,13.0,10.0
Toyama Prefecture,21777.777777777777,7,314,9.0,16.0,12.5
Hokkaido,28125.0,23,619,20.0,8.0,14.0
Nagano Prefecture,25000.0,11,273,14.0,17.0,15.5
Okayama Prefecture,27179.633867276887,8,321,17.0,15.0,16.0
Mie Prefecture,27809.61791831357,10,396,19.0,14.0,16.5
Kagawa Prefecture,23809.52380952381,5,239,12.0,23.0,17.5
Yamagata Prefecture,19493.67088607595,9,160,5.0,31.0,18.0
Oita Prefecture,23703.703703703704,5,195,11.0,25.0,18.0
Fukuoka Prefecture,39777.77777777778,29,841,31.0,6.0,18.5
Akita Prefecture,11866.125760649087,6,122,1.0,38.0,19.5
Kagoshima Prefecture,18707.865168539327,4,126,3.0,37.0,20.0
Tochigi Prefecture,18706.293706293705,6,119,2.0,39.0,20.5
Shimane Prefecture,21739.130434782608,5,148,8.0,33.0,20.5
Saga Prefecture,19534.883720930233,7,127,6.0,36.0,21.0
Aomori Prefecture,21846.84684684685,4,150,10.0,32.0,21.0
Gifu Prefecture,32380.95238095238,9,269,25.0,18.0,21.5
Hyogo Prefecture,85714.28571428571,25,1488,40.0,3.0,21.5
Gunma Prefecture,27173.91304347826,7,175,16.0,28.0,22.0
Osaka Prefecture,142857.14285714287,59,4192,43.0,1.0,22.0
Fukushima Prefecture,31662.735849056604,8,240,23.0,22.0,22.5
Ishikawa Prefecture,27250.0,5,175,18.0,28.0,23.0
Kyoto Prefecture,128965.5172413793,21,1090,42.0,5.0,23.5
Chiba Prefecture,80000.0,21,507,38.0,10.0,24.0
Wakayama Prefecture,31561.264822134388,6,187,22.0,26.0,24.0
Aichi Prefecture,128493.99922570655,28,809,41.0,7.0,24.0
Kanagawa Prefecture,169863.01369863015,37,1391,45.0,4.0,24.5
Tokyo,312500.0,41,3041,47.0,2.0,24.5
Hiroshima Prefecture,70000.0,17,440,37.0,12.0,24.5
Ehime Prefecture,38596.491228070176,7,268,30.0,19.0,24.5
Saitama Prefecture,156923.07692307694,26,547,44.0,9.0,26.5
Miyazaki Prefecture,32047.184170471843,4,170,24.0,30.0,27.0
Shizuoka Prefecture,50000.0,11,251,34.5,21.0,27.75
Nara Prefecture,62852.664576802505,8,254,36.0,20.0,28.0
Fukui Prefecture,24750.0,3,78,13.0,43.0,28.0
Nagasaki Prefecture,36608.52713178295,4,175,29.0,28.0,28.5
Miyagi Prefecture,50000.0,9,227,34.5,24.0,29.25
Ibaraki Prefecture,25801.28205128205,4,72,15.0,44.0,29.5
Kumamoto Prefecture,33333.333333333336,5,137,26.0,34.0,30.0
Tottori Prefecture,31007.462686567163,2,91,21.0,42.0,31.5
Shiga Prefecture,47121.53518123667,4,133,33.0,35.0,34.0
Iwate Prefecture,36111.11111111111,5,112,28.0,41.0,34.5
Yamanashi Prefecture,34117.64705882353,1,49,27.0,46.0,36.5
Tokushima Prefecture,39980.694980694985,2,69,32.0,45.0,38.5
Kochi Prefecture,83333.33333333333,1,115,39.0,40.0,39.5
Okinawa Prefecture,210344.8275862069,1,32,46.0,47.0,46.5
